variant,holdout_season,feature_count,model_name,log_loss,brier_score,accuracy,n_games,accuracy_conf_55,coverage_conf_55,accuracy_conf_60,coverage_conf_60,accuracy_conf_65,coverage_conf_65
without_travel,2025,145,random_forest_shallow,0.6805891417766129,0.24380575934839296,0.5633744855967078,2430.0,0.6031434184675835,0.4189300411522634,0.6840277777777778,0.11851851851851852,0.7446808510638298,0.01934156378600823
without_travel,2025,145,random_forest,0.6806879486232013,0.2438692144843256,0.5576131687242798,2430.0,0.5951417004048583,0.5082304526748971,0.6492374727668845,0.18888888888888888,0.7129629629629629,0.044444444444444446
without_travel,2025,145,extra_trees,0.6814805733232754,0.24423503676560943,0.5539094650205761,2430.0,0.6189349112426036,0.3477366255144033,0.7080745341614907,0.0662551440329218,1.0,0.0016460905349794238
without_bullpen_role,2022,158,random_forest,0.6766735184103074,0.2418427220937814,0.579835390946502,2430.0,0.6191974822974036,0.5230452674897119,0.6487603305785123,0.1991769547325103,0.6511627906976745,0.05308641975308642
without_bullpen_role,2022,158,random_forest_shallow,0.6782022386589054,0.2425844102898212,0.5765432098765432,2430.0,0.6216680997420464,0.47860082304526746,0.6666666666666666,0.15432098765432098,0.5454545454545454,0.01810699588477366
without_bullpen_role,2022,158,extra_trees,0.6818494300316236,0.24437263873499548,0.5724279835390946,2430.0,0.6043030869971936,0.43991769547325105,0.6096491228070176,0.09382716049382717,0.4,0.006172839506172839
without_bullpen_role,2023,160,random_forest,0.6810529062928826,0.2440246237894897,0.5563786008230452,2430.0,0.5932746196957566,0.5139917695473251,0.6380368098159509,0.20123456790123456,0.6756756756756757,0.04567901234567901
without_bullpen_role,2023,160,random_forest_shallow,0.6823244893452697,0.24466625814150392,0.5547325102880658,2430.0,0.5913120567375887,0.4641975308641975,0.6569767441860465,0.14156378600823044,0.75,0.01810699588477366
without_bullpen_role,2023,160,extra_trees,0.6837746382422534,0.24537290722333158,0.5444444444444444,2430.0,0.5904761904761905,0.43209876543209874,0.7213930348258707,0.08271604938271605,1.0,0.0008230452674897119
without_bullpen_role,2024,160,random_forest,0.6799229606377686,0.24345432044081017,0.5714285714285714,2429.0,0.605465414175918,0.48209139563606423,0.6497584541062802,0.17044051049814737,0.6896551724137931,0.03581720872787155
without_bullpen_role,2024,160,random_forest_shallow,0.680629813832894,0.24380705662476404,0.5706051873198847,2429.0,0.6010204081632653,0.4034582132564842,0.6451612903225806,0.1020996294771511,0.7586206896551724,0.011939069575957185
without_bullpen_role,2024,160,extra_trees,0.6821465871067389,0.24455093762916283,0.5611362700699877,2429.0,0.6178660049627791,0.33182379580074106,0.704,0.051461506792918894,1.0,0.002470152326060107
without_bullpen_role,2025,160,random_forest,0.6800485188584561,0.24356287497431942,0.5526748971193416,2430.0,0.6065969428801288,0.511522633744856,0.6673640167364017,0.19670781893004116,0.7321428571428571,0.04609053497942387
without_bullpen_role,2025,160,random_forest_shallow,0.6808060577319864,0.2439160764896761,0.5654320987654321,2430.0,0.58743961352657,0.42592592592592593,0.6938775510204082,0.12098765432098765,0.7857142857142857,0.01728395061728395
without_bullpen_role,2025,160,extra_trees,0.68188247794272,0.2444276787415462,0.5670781893004115,2430.0,0.6203473945409429,0.33168724279835393,0.7553956834532374,0.05720164609053498,1.0,0.0016460905349794238
without_all_research_groups,2022,108,random_forest,0.6768366990071999,0.24191434895534747,0.5740740740740741,2430.0,0.6199203187250996,0.5164609053497943,0.6598360655737705,0.2008230452674897,0.6324786324786325,0.04814814814814815
without_all_research_groups,2022,108,random_forest_shallow,0.6775888958982343,0.24228724340059488,0.574485596707819,2430.0,0.6225108225108225,0.47530864197530864,0.6746031746031746,0.15555555555555556,0.609375,0.02633744855967078
without_all_research_groups,2022,108,extra_trees,0.6818954890705912,0.24439156339655743,0.5707818930041152,2430.0,0.6052123552123552,0.42633744855967076,0.6079295154185022,0.0934156378600823,0.47368421052631576,0.007818930041152264
without_all_research_groups,2023,110,random_forest_shallow,0.6810703956174687,0.2440354930762602,0.5580246913580247,2430.0,0.6021684737281068,0.4934156378600823,0.6650124069478908,0.16584362139917697,0.7407407407407407,0.022222222222222223
without_all_research_groups,2023,110,random_forest,0.682046646029939,0.24451406464532943,0.5609053497942387,2430.0,0.5844051446945338,0.5119341563786008,0.6292585170340681,0.20534979423868313,0.6737588652482269,0.05802469135802469
without_all_research_groups,2023,110,extra_trees,0.6832299106914616,0.24509544259734625,0.5448559670781893,2430.0,0.5941747572815534,0.42386831275720166,0.677570093457944,0.08806584362139917,1.0,0.00205761316872428
without_all_research_groups,2024,110,random_forest,0.6798851040273257,0.24345846155106576,0.5648414985590778,2429.0,0.605,0.49403046521202143,0.6496519721577726,0.17743927542198434,0.6990291262135923,0.04240428159736517
without_all_research_groups,2024,110,random_forest_shallow,0.6801918216254615,0.2436026045433698,0.5561959654178674,2429.0,0.6162904808635917,0.41951420337587486,0.6666666666666666,0.11239193083573487,0.7555555555555555,0.018526142445450804
without_all_research_groups,2024,110,extra_trees,0.6833560263362158,0.2451457704666827,0.5648414985590778,2429.0,0.6098159509202454,0.3355290242898312,0.6791044776119403,0.055166735282009056,0.625,0.0032935364347468094
without_all_research_groups,2025,110,random_forest,0.6803097119238459,0.2436974237174969,0.5596707818930041,2430.0,0.5995222929936306,0.516872427983539,0.6507592190889371,0.1897119341563786,0.6666666666666666,0.05432098765432099
without_all_research_groups,2025,110,random_forest_shallow,0.681745949944358,0.2443822588806165,0.5555555555555556,2430.0,0.5963740458015268,0.4312757201646091,0.6568627450980392,0.1259259259259259,0.7222222222222222,0.022222222222222223
without_all_research_groups,2025,110,extra_trees,0.6821962302952524,0.24459118520310433,0.5502057613168724,2430.0,0.6161137440758294,0.34732510288065843,0.7457627118644068,0.0728395061728395,1.0,0.0024691358024691358
