column,dtype,rows,non_null,nulls,null_rate,zero_rate,min,median,max
team_bb_rate_diff,float64,2429,2413,16,0.006587072869493619,0.0,-0.1642857142857142,-0.0001385309314561,0.1137881679389312
team_k_rate_diff,float64,2429,2413,16,0.006587072869493619,0.9934129271305063,0.0,0.0,0.0
team_low_run_rate_last_10_diff,float64,2429,2413,16,0.006587072869493619,0.184026348291478,-1.0,0.0,1.0
team_weighted_run_diff_last_10_diff,float64,2429,2413,16,0.006587072869493619,0.0,-16.0,-0.0869644904172732,30.0
team_weighted_runs_allowed_last_10_diff,float64,2429,2413,16,0.006587072869493619,0.0,-8.0,0.0347871915719544,15.0
team_weighted_runs_for_last_10_diff,float64,2429,2413,16,0.006587072869493619,0.0,-8.0,-0.0156116712116753,15.0
team_weighted_win_rate_last_10_diff,float64,2429,2413,16,0.006587072869493619,0.0004116920543433512,-1.0,-0.0105660486322771,1.0
team_woba_diff,float64,2429,2413,16,0.006587072869493619,0.0,-0.2380261136712749,-0.0002826184043267,0.2554278074866311
travel_distance_diff,float64,2429,2413,16,0.006587072869493619,0.6768217373404694,-2552.168129249713,0.0,2689.469726944023
travel_rest_diff,float64,2429,2413,16,0.006587072869493619,0.8987237546315356,-2.0,0.0,2.0
travel_timezone_shift_diff,float64,2429,2413,16,0.006587072869493619,0.7958007410456979,-5.0,0.0,4.0
home_lineup_top3_woba,float64,2429,2414,15,0.006175380815150268,0.0004116920543433512,0.0,0.3383196889612222,0.7692254562254562
home_bullpen_fip_season_to_date,float64,2429,2415,14,0.005763688760806916,0.0,1.6000000000000003,3.883737024221453,8.775675675675677
home_bullpen_whip_season_to_date,float64,2429,2415,14,0.005763688760806916,0.0,0.4999999999999999,1.2688953488372094,4.333333333333333
home_lineup_3to5_woba,float64,2429,2415,14,0.005763688760806916,0.0,0.0574999999999999,0.3305862470862471,0.9341666666666668
home_lineup_avg_babip,float64,2429,2415,14,0.005763688760806916,0.0004116920543433512,0.0,0.2166521313228412,0.4471028971028971
home_lineup_avg_iso,float64,2429,2415,14,0.005763688760806916,0.0012350761630300535,0.0,0.1501497102430192,0.5555555555555556
home_lineup_avg_ops,float64,2429,2415,14,0.005763688760806916,0.0,0.2333333333333333,0.7082772359183584,1.2979353979353978
home_lineup_avg_woba,float64,2429,2415,14,0.005763688760806916,0.0,0.1038333333333333,0.3136695332146019,0.5480128205128205
home_lineup_bb_rate,float64,2429,2415,14,0.005763688760806916,0.0008233841086867024,0.0,0.0818411290171561,0.2110489893941917
home_lineup_bottom4_ops,float64,2429,2415,14,0.005763688760806916,0.0012350761630300535,0.0,0.6523285899374927,1.6980748222274709
home_lineup_k_rate,float64,2429,2415,14,0.005763688760806916,0.9942363112391931,0.0,0.0,0.0
home_lineup_previous_starter_missing_count,float64,2429,2415,14,0.005763688760806916,0.0337587484561548,0.0,2.0,6.0
home_lineup_previous_starter_return_rate,float64,2429,2415,14,0.005763688760806916,0.0,0.3333333333333333,0.7777777777777778,1.0
home_lineup_weighted_woba_by_order,float64,2429,2415,14,0.005763688760806916,0.0,0.1143926553672316,0.3171103901874667,0.5947028985507247
home_lineup_xwoba_proxy,float64,2429,2415,14,0.005763688760806916,0.0,0.1038333333333333,0.3136695332146019,0.5480128205128205
home_team_5plus_run_rate_last_10,float64,2429,2415,14,0.005763688760806916,0.01399752984767394,0.0,0.4,1.0
home_team_actual_minus_pythag_last_20,float64,2429,2415,14,0.005763688760806916,0.006175380815150268,-0.4098360655737705,0.0,0.36
