game_id,game_date,season,home_team,away_team,home_sp_id,away_sp_id,venue_id,home_score,away_score,prediction_mode,home_team_win,home_sp_fip_season_to_date,home_sp_whip_season_to_date,home_sp_kbb_rate_season_to_date,home_sp_fip_last_3_starts,home_sp_fip_last_5_starts,home_sp_ip_avg_last_3_starts,home_sp_pitch_count_last_start,home_sp_rest_days,away_sp_fip_season_to_date,away_sp_whip_season_to_date,away_sp_kbb_rate_season_to_date,away_sp_fip_last_3_starts,away_sp_fip_last_5_starts,away_sp_ip_avg_last_3_starts,away_sp_pitch_count_last_start,away_sp_rest_days,home_lineup_avg_ops,home_lineup_avg_woba,home_lineup_weighted_woba_by_order,home_lineup_top3_woba,home_lineup_3to5_woba,home_lineup_bottom4_ops,home_lineup_lefty_ratio,home_lineup_vs_rhp_woba,home_lineup_vs_lhp_woba,away_lineup_avg_ops,away_lineup_avg_woba,away_lineup_weighted_woba_by_order,away_lineup_top3_woba,away_lineup_3to5_woba,away_lineup_bottom4_ops,away_lineup_lefty_ratio,away_lineup_vs_rhp_woba,away_lineup_vs_lhp_woba,home_team_ops_season_to_date,home_team_woba_season_to_date,home_team_runs_per_game_to_date,home_team_runs_allowed_per_game_to_date,home_team_recent_7g_win_rate,home_team_recent_10g_win_rate,home_team_ops_last_14d,home_team_ops_last_30d,away_team_ops_season_to_date,away_team_woba_season_to_date,away_team_runs_per_game_to_date,away_team_runs_allowed_per_game_to_date,away_team_recent_7g_win_rate,away_team_recent_10g_win_rate,away_team_ops_last_14d,away_team_ops_last_30d,home_bullpen_fip_season_to_date,home_bullpen_whip_season_to_date,home_bullpen_ip_last_1d,home_bullpen_ip_last_3d,home_bullpen_ip_last_5d,home_bullpen_fatigue_score,home_closer_used_yesterday,home_high_leverage_rp_fatigue_score,away_bullpen_fip_season_to_date,away_bullpen_whip_season_to_date,away_bullpen_ip_last_1d,away_bullpen_ip_last_3d,away_bullpen_ip_last_5d,away_bullpen_fatigue_score,away_closer_used_yesterday,away_high_leverage_rp_fatigue_score,temperature,wind_speed,wind_direction,humidity,is_dome,park_factor_run,park_factor_hr,home_field_advantage,sp_fip_diff,lineup_woba_diff,bullpen_fatigue_diff,team_woba_diff
718760,2023-04-01 18:10:00+00:00,2023,HOU,CWS,664353.0,608337.0,2392,6.0,4.0,confirmed_lineup,1,,,,,,,,,,,,,,,,,0.7703869047619047,0.33328125,0.3458005617977528,0.3320833333333333,0.4758333333333333,0.6388888888888888,0.2222222222222222,0.33328125,,0.8061728395061727,0.3571141975308642,0.36156166666666667,0.3562222222222222,0.3742592592592593,0.7020833333333334,0.4444444444444444,0.33050000000000007,0.3834444444444445,0.6291854072963519,0.29333333333333333,4.0,3.0,0.5,0.5,0.6291854072963519,0.6291854072963519,0.7424472573839662,0.32772151898734175,3.0,4.0,0.5,0.5,0.7424472573839662,0.7424472573839662,2.975,1.125,4.0,8.0,8.0,16.3,0.0,3.0,6.7,2.2,2.333333333333333,5.0,5.0,10.166666666666666,0.0,2.333333333333333,73,0,,33.0,1,,,1.0,,-0.023832947530864235,-6.133333333333335,-0.03438818565400842
718759,2023-04-01 18:15:00+00:00,2023,STL,TOR,656427.0,592332.0,2889,4.0,1.0,confirmed_lineup,1,,,,,,,,,,,,,,,,,0.9229166666666666,0.3993333333333333,0.42045454545454547,0.6083333333333334,0.4853333333333334,0.6499999999999999,0.4444444444444444,0.3993333333333333,,1.1222222222222222,0.5152380952380952,0.5115738396624473,0.6050000000000001,0.3874444444444445,0.8,0.4444444444444444,0.5152380952380952,,1.0077841203943954,0.43978723404255315,9.0,10.0,0.0,0.0,1.0077841203943954,1.0077841203943954,0.9810156620787851,0.4253061224489796,10.0,9.0,1.0,1.0,0.9810156620787851,0.9810156620787851,2.923529411764706,2.1176470588235294,0.0,5.666666666666666,5.666666666666666,7.2333333333333325,0.0,2.0,3.4529411764705884,1.7647058823529413,0.0,5.666666666666666,5.666666666666666,7.2333333333333325,0.0,2.0,46,23,Out To RF,46.0,0,,,1.0,,-0.11590476190476184,0.0,0.01448111159357357
718758,2023-04-01 18:20:00+00:00,2023,CHC,MIL,657006.0,605540.0,17,1.0,3.0,confirmed_lineup,0,,,,,,,,,,,,,,,,,0.5833333333333334,0.27166666666666667,0.28194444444444444,0.48583333333333334,0.24666666666666667,0.0,0.5555555555555556,0.27166666666666667,,0.5595238095238095,0.27976190476190477,0.28493421052631585,0.37,0.28375,0.5208333333333333,0.4444444444444444,0.27976190476190477,,0.5142857142857142,0.252,4.0,0.0,1.0,1.0,0.5142857142857142,0.5142857142857142,0.4026369168356998,0.2061764705882353,0.0,4.0,0.0,0.0,0.4026369168356998,0.4026369168356998,2.4333333333333336,1.0,0.0,3.0,3.0,3.3000000000000003,0.0,0.0,2.7666666666666666,1.0,0.0,3.0,3.0,3.3000000000000003,0.0,0.0,39,23,In From LF,64.0,0,,,1.0,,-0.0080952380952381,0.0,0.04582352941176471
718752,2023-04-01 20:05:00+00:00,2023,TEX,PHI,543135.0,554430.0,5325,16.0,3.0,confirmed_lineup,1,,,,,,,,,,,,,,,,,0.4766666666666667,0.2537,0.25423214285714285,0.3755,0.28375,0.25,0.4444444444444444,0.2537,,0.8300000000000001,0.3499,0.345212962962963,0.231,,1.0,0.4444444444444444,0.3499,,0.9523026315789473,0.4168421052631579,11.0,7.0,1.0,1.0,0.9523026315789473,0.9523026315789473,0.9824890556597874,0.41414634146341467,7.0,11.0,0.0,0.0,0.9824890556597874,0.9824890556597874,1.9750000000000003,1.4999999999999998,0.0,5.333333333333334,5.333333333333334,5.866666666666667,0.0,0.0,7.023076923076923,2.3076923076923075,0.0,4.333333333333333,4.333333333333333,4.766666666666667,0.0,0.0,71,8,In From CF,37.0,0,,,1.0,,-0.09620000000000001,-1.1000000000000005,0.0026957637997432338
718753,2023-04-01 20:05:00+00:00,2023,WSH,ATL,680686.0,675911.0,3309,1.0,7.0,confirmed_lineup,0,,,,,,,,,,,,,,,,,0.6708333333333334,0.3039375,0.31292045454545453,0.32449999999999996,0.57875,0.475,0.6666666666666666,,0.3039375,0.7708333333333334,0.36483333333333334,0.37491111111111114,0.3808888888888889,0.36200000000000004,0.8166666666666668,0.4444444444444444,,0.36483333333333334,0.5885167464114832,0.27,2.0,7.0,0.0,0.0,0.5885167464114832,0.5885167464114832,0.741304347826087,0.338695652173913,7.0,2.0,1.0,1.0,0.741304347826087,0.741304347826087,3.2666666666666666,1.3333333333333333,0.0,6.0,6.0,6.6000000000000005,0.0,0.0,4.158823529411765,1.411764705882353,0.0,5.666666666666666,5.666666666666666,8.066666666666666,0.0,3.666666666666666,73,18,Out To LF,30.0,0,,,1.0,,-0.060895833333333316,1.466666666666666,-0.06869565217391299
718762,2023-04-01 20:05:00+00:00,2023,NYY,SF,657376.0,502171.0,3313,5.0,7.0,confirmed_lineup,0,,,,,,,,,,,,,,,,,0.7395833333333333,0.320625,0.3253571428571429,0.3975,0.2225,0.7222222222222222,0.3333333333333333,0.320625,,0.375,0.1821875,0.17942307692307694,0.28,0.2058333333333333,0.3333333333333333,0.6666666666666666,0.1821875,,0.7316176470588236,0.3211764705882353,5.0,0.0,1.0,1.0,0.7316176470588236,0.7316176470588236,0.34545454545454546,0.1706060606060606,0.0,5.0,0.0,0.0,0.34545454545454546,0.34545454545454546,0.7666666666666666,0.6666666666666666,0.0,3.0,3.0,3.8000000000000003,0.0,1.0,-0.8999999999999999,2.0,0.0,2.0,2.0,2.2,0.0,0.0,68,16,Out To LF,69.0,0,,,1.0,,0.1384375,-1.6,0.1505704099821747
718757,2023-04-01 20:07:00+00:00,2023,OAK,LAA,660261.0,663776.0,10,1.0,13.0,confirmed_lineup,0,,,,,,,,,,,,,,,,,0.8055555555555555,0.3623611111111111,0.3686567164179105,0.4847222222222222,0.54,0.49999999999999994,0.4444444444444444,0.3623611111111111,,0.5416666666666666,0.25527777777777777,0.24856770833333341,0.30875,0.1975,0.6388888888888888,0.4444444444444444,,0.25527777777777777,0.5788923719958203,0.2684848484848485,2.0,1.0,1.0,1.0,0.5788923719958203,0.5788923719958203,0.41843317972350225,0.206,1.0,2.0,0.0,0.0,0.41843317972350225,0.41843317972350225,2.85,0.9999999999999998,0.0,4.0,4.0,4.9,0.0,1.0,2.6,2.5,0.0,2.0,2.0,2.8666666666666667,0.0,1.3333333333333333,58,7,Out To RF,67.0,0,,,1.0,,0.10708333333333331,-2.0333333333333337,0.062484848484848504
718751,2023-04-01 20:10:00+00:00,2023,KC,MIN,543475.0,543243.0,7,0.0,2.0,confirmed_lineup,0,,,,,,,,,,,,,,,,,0.3958333333333333,0.19572916666666668,0.19432971014492756,0.24666666666666667,0.13166666666666668,0.5555555555555555,0.5555555555555556,0.19572916666666668,,0.8444444444444446,0.3725,0.37321000000000004,0.22666666666666666,0.424,1.125,0.3333333333333333,0.3725,,0.35353535353535354,0.19181818181818183,0.0,2.0,0.0,0.0,0.35353535353535354,0.35353535353535354,0.7172050098879368,0.32390243902439025,2.0,0.0,1.0,1.0,0.7172050098879368,0.7172050098879368,2.827272727272727,1.9090909090909094,0.0,3.6666666666666665,3.6666666666666665,4.033333333333333,0.0,0.0,3.1,0.5454545454545455,0.0,3.6666666666666665,3.6666666666666665,5.866666666666666,0.0,3.6666666666666665,55,12,L To R,40.0,0,,,1.0,,-0.17677083333333332,1.833333333333333,-0.13208425720620842
718754,2023-04-01 20:10:00+00:00,2023,TB,DET,621107.0,605513.0,12,12.0,2.0,confirmed_lineup,1,,,,,,,,,,,,,,,,,0.8214285714285714,0.36678571428571427,0.37445783132530125,0.225,0.4716666666666667,0.8333333333333333,0.5555555555555556,,0.36678571428571427,0.2261904761904762,0.10178571428571428,0.10553333333333334,0.13166666666666668,0.0,0.1875,0.4444444444444444,,0.10178571428571428,0.6950431034482758,0.3071875,4.0,0.0,1.0,1.0,0.6950431034482758,0.6950431034482758,0.5071428571428571,0.23342857142857143,0.0,4.0,0.0,0.0,0.5071428571428571,0.5071428571428571,5.1,1.3333333333333333,0.0,3.0,3.0,4.300000000000001,0.0,2.0,7.600000000000001,1.5000000000000004,0.0,2.6666666666666665,2.6666666666666665,2.933333333333333,0.0,0.0,72,0,,71.0,1,,,1.0,,0.265,-1.3666666666666676,0.07375892857142857
718755,2023-04-01 20:10:00+00:00,2023,MIA,NYM,665795.0,656731.0,4169,2.0,6.0,confirmed_lineup,0,,,,,,,,,,,,,,,,,0.6703869047619048,0.29161458333333334,0.3107638888888889,0.5625,0.31666666666666665,0.2638888888888889,0.4444444444444444,0.22214285714285717,0.4690277777777778,0.5348324514991182,0.24997574955908292,0.24447757936507944,0.2563888888888889,0.1775,0.6061507936507937,0.5555555555555556,0.27161111111111114,0.2075,0.7446650124069478,0.3218461538461539,2.5,3.0,0.5,0.5,0.7446650124069478,0.7446650124069478,0.5800583876038625,0.26821917808219176,3.0,2.5,0.5,0.5,0.5800583876038625,0.5800583876038625,4.15,1.2000000000000002,3.333333333333333,6.666666666666666,6.666666666666666,13.999999999999998,0.0,3.333333333333333,3.2666666666666666,0.5,3.0,6.0,6.0,12.600000000000001,0.0,3.0,72,0,,67.0,1,,,1.0,,0.04163883377425043,-1.3999999999999968,0.05362697576396214
