venue_id,venue_name,season,source_season,source_games,park_factor_run,park_factor_hr,source
2523,George M. Steinbrenner Field,2026,2025,81,0.9854723790136022,1.0991150442477875,empirical_previous_1_season
2529,Sutter Health Park,2026,2025,81,1.1284352734338852,1.2212389380530975,empirical_previous_1_season
2602,Great American Ball Park,2026,2025,80,0.9767106967706115,1.0214601769911504,empirical_previous_1_season
2680,Petco Park,2026,2025,81,0.8869251411122421,0.8654867256637169,empirical_previous_1_season
2681,Citizens Bank Park,2026,2025,81,1.0604237993892844,1.152212389380531,empirical_previous_1_season
2889,Busch Stadium,2026,2025,81,0.9549366151568427,0.7592920353982301,empirical_previous_1_season
3289,Citi Field,2026,2025,80,1.0273029055241971,1.0268362831858409,empirical_previous_1_season
3309,Nationals Park,2026,2025,81,1.0978995095771258,0.9398230088495575,empirical_previous_1_season
3312,Target Field,2026,2025,81,1.0659757564541499,0.9398230088495575,empirical_previous_1_season
3313,Yankee Stadium,2026,2025,81,1.017396132136578,1.1946902654867257,empirical_previous_1_season
4169,loanDepot park,2026,2025,81,0.9632645507541409,0.8495575221238938,empirical_previous_1_season
4705,Truist Park,2026,2025,81,1.0035162394744146,1.0513274336283187,empirical_previous_1_season
5325,Globe Life Field,2026,2025,81,0.8008698066068288,0.7964601769911505,empirical_previous_1_season
