variant,seed,holdout_season,feature_count,model_name,log_loss,brier_score,accuracy,n_games,accuracy_conf_55,coverage_conf_55,accuracy_conf_60,coverage_conf_60,accuracy_conf_65,coverage_conf_65,baseline_log_loss,baseline_brier_score,baseline_accuracy,log_loss_delta_vs_baseline,accuracy_delta_vs_baseline
v2_core,11,2024,229,random_forest,0.6815913451461953,0.2442895930369505,0.5631947303417044,2429.0,0.600836820083682,0.49197200494030463,0.6441860465116279,0.17702758336764102,0.6833333333333333,0.04940304652120214,0.681415444382767,0.2442051828864204,0.5599011939069576,0.00017590076342832717,0.0032935364347468354
v2_core,11,2024,229,random_forest_shallow,0.6822554278486772,0.2446053455071969,0.5578427336352408,2429.0,0.602502406159769,0.4277480444627419,0.6491803278688525,0.1255660765747221,0.6724137931034483,0.02387813915191437,0.681415444382767,0.2442051828864204,0.5599011939069576,0.0008399834659101879,-0.0020584602717167444
v2_core,11,2025,229,random_forest_shallow,0.6794943628112273,0.2432837309016051,0.5559670781893004,2430.0,0.6183206106870229,0.4312757201646091,0.6803519061583577,0.1403292181069959,0.75,0.02962962962962963,0.6806185552586738,0.24383850649075028,0.5580246913580247,-0.001124192447446437,-0.002057613168724326
v2_core,11,2025,229,random_forest,0.6797564152126728,0.243433787970013,0.5530864197530864,2430.0,0.6036184210526315,0.5004115226337449,0.6645569620253164,0.19506172839506172,0.7111111111111111,0.05555555555555555,0.6806185552586738,0.24383850649075028,0.5580246913580247,-0.0008621400460009365,-0.004938271604938316
v2_core,22,2022,227,random_forest,0.6785057851108989,0.24274187379375634,0.5711934156378601,2430.0,0.6123348017621145,0.5604938271604938,0.6256323777403036,0.24403292181069958,0.632258064516129,0.06378600823045268,0.6783607832742611,0.24270420876968857,0.5695473251028806,0.00014500183663779254,0.0016460905349794386
v2_core,22,2022,227,random_forest_shallow,0.6791297916922309,0.24303470550081271,0.5761316872427984,2430.0,0.6138613861386139,0.5403292181069959,0.6257425742574257,0.20781893004115226,0.6274509803921569,0.04197530864197531,0.6783607832742611,0.24270420876968857,0.5695473251028806,0.0007690084179697854,0.006584362139917754
v2_core,22,2023,229,random_forest,0.6813317866425335,0.24415032970016412,0.5650205761316872,2430.0,0.5998445998445998,0.5296296296296297,0.6294896030245747,0.2176954732510288,0.6912751677852349,0.06131687242798354,0.6812810537907182,0.2441210841941852,0.5621399176954732,5.073285181522724e-05,0.0028806584362139898
v2_core,22,2023,229,random_forest_shallow,0.682115357640413,0.24455754141191616,0.5506172839506173,2430.0,0.5897226753670473,0.5045267489711934,0.6385809312638581,0.18559670781893003,0.6666666666666666,0.0345679012345679,0.6812810537907182,0.2441210841941852,0.5621399176954732,0.0008343038496947397,-0.011522633744855959
v2_core,22,2024,229,random_forest_shallow,0.6820724311118642,0.24453224117161712,0.5631947303417044,2429.0,0.5901960784313726,0.4199258954302182,0.6723549488054608,0.12062577192260189,0.75,0.02140798682585426,0.6799047211764042,0.24346711366245735,0.5599011939069576,0.002167709935460005,0.0032935364347468354
v2_core,22,2024,229,random_forest,0.6824193358092693,0.24468551258648735,0.5574310415808975,2429.0,0.5939597315436241,0.4907369287772746,0.6225596529284165,0.1897900370522849,0.6752136752136753,0.04816797035817209,0.6799047211764042,0.24346711366245735,0.5599011939069576,0.0025146146328650643,-0.002470152326060071
