variant,seed,holdout_season,feature_count,model_name,log_loss,brier_score,accuracy,n_games,accuracy_conf_55,coverage_conf_55,accuracy_conf_60,coverage_conf_60,accuracy_conf_65,coverage_conf_65,baseline_log_loss,baseline_accuracy,log_loss_delta_vs_baseline,accuracy_delta_vs_baseline
no_env,11,2022,140,random_forest_shallow,0.6844040204280029,0.2456628141280372,0.5518102372034956,801.0,0.5888594164456233,0.4706616729088639,0.6268656716417911,0.16729088639200998,0.5666666666666667,0.03745318352059925,0.6854688166224917,0.5393258426966292,-0.0010647961944888484,0.012484394506866447
no_env,11,2022,140,random_forest,0.6876308046889401,0.2471750610610977,0.5268414481897628,801.0,0.5955334987593052,0.5031210986267166,0.6282051282051282,0.1947565543071161,0.6363636363636364,0.0686641697877653,0.6854688166224917,0.5393258426966292,0.002161988066448406,-0.012484394506866447
no_env,11,2022,140,extra_trees,0.6880014128965894,0.24742384396547654,0.5355805243445693,801.0,0.6129032258064516,0.27091136079900124,0.5853658536585366,0.05118601747815231,0.3333333333333333,0.003745318352059925,0.6854688166224917,0.5393258426966292,0.0025325962740977426,-0.0037453183520599342
no_env,11,2023,140,extra_trees,0.687797350125213,0.24733515251319424,0.55625,800.0,0.5963302752293578,0.2725,0.5581395348837209,0.05375,0.6666666666666666,0.00375,0.6905081838614605,0.53375,-0.0027108337362474755,0.022500000000000075
no_env,11,2023,140,random_forest_shallow,0.6895795834496089,0.24815631124821677,0.55,800.0,0.5595238095238095,0.42,0.5523809523809524,0.13125,0.56,0.03125,0.6905081838614605,0.53375,-0.00092860041185161,0.016250000000000098
no_env,11,2023,140,random_forest,0.6916184084658888,0.24917840569880034,0.5425,800.0,0.5491183879093199,0.49625,0.5867768595041323,0.15125,0.5405405405405406,0.04625,0.6905081838614605,0.53375,0.0011102246044283337,0.008750000000000036
no_env,11,2024,140,random_forest_shallow,0.6842708497713252,0.24561747110023144,0.5721997300944669,741.0,0.5909090909090909,0.3562753036437247,0.6,0.08097165991902834,0.8461538461538461,0.017543859649122806,0.6905770000312621,0.5276653171390013,-0.00630615025993686,0.04453441295546556
no_env,11,2024,140,extra_trees,0.6866099148440498,0.2467446623193865,0.5519568151147098,741.0,0.5664739884393064,0.23346828609986506,0.5833333333333334,0.032388663967611336,0.0,0.001349527665317139,0.6905770000312621,0.5276653171390013,-0.003967085187212338,0.02429149797570851
no_env,11,2024,140,random_forest,0.6880875077434654,0.24750675324715943,0.5600539811066126,741.0,0.551948051948052,0.4156545209176788,0.5824175824175825,0.12280701754385964,0.8571428571428571,0.02834008097165992,0.6905770000312621,0.5276653171390013,-0.002489492287796713,0.03238866396761131
no_env,11,2025,140,extra_trees,0.6788351097080829,0.24293512952340812,0.5508819538670285,737.0,0.6267123287671232,0.39620081411126185,0.7166666666666667,0.0814111261872456,1.0,0.004070556309362279,0.6824477895622858,0.5522388059701493,-0.0036126798542028826,-0.0013568521031207537
no_env,11,2025,140,random_forest_shallow,0.6790643364902035,0.24307770971918696,0.5495251017639078,737.0,0.6170798898071626,0.4925373134328358,0.6574074074074074,0.14654002713704206,0.8823529411764706,0.023066485753052916,0.6824477895622858,0.5522388059701493,-0.003383453072082321,-0.0027137042062415073
no_env,11,2025,140,random_forest,0.6826087390831055,0.24482891491207745,0.5427408412483039,737.0,0.5915119363395226,0.5115332428765265,0.6415094339622641,0.2157394843962008,0.7222222222222222,0.048846675712347354,0.6824477895622858,0.5522388059701493,0.0001609495208196865,-0.009497964721845387
no_env,11,2026,140,random_forest,0.6860746866193455,0.24659526173489543,0.5364963503649635,274.0,0.5739130434782609,0.4197080291970803,0.6774193548387096,0.11313868613138686,0.7142857142857143,0.025547445255474453,0.6883191742598539,0.5182481751824818,-0.0022444876405084413,0.018248175182481674
no_env,11,2026,140,extra_trees,0.6876310322556328,0.24729538612741883,0.5547445255474452,274.0,0.5647058823529412,0.3102189781021898,0.6153846153846154,0.04744525547445255,1.0,0.0036496350364963502,0.6883191742598539,0.5182481751824818,-0.0006881420042210706,0.03649635036496346
no_env,11,2026,140,random_forest_shallow,0.6898759875587708,0.24846859035496452,0.5218978102189781,274.0,0.5221238938053098,0.4124087591240876,0.6296296296296297,0.09854014598540146,0.8333333333333334,0.021897810218978103,0.6883191742598539,0.5182481751824818,0.0015568132989168815,0.0036496350364962904
no_env,22,2022,140,random_forest_shallow,0.6838371188420287,0.2454017472174581,0.5393258426966292,801.0,0.5969696969696969,0.41198501872659177,0.6355140186915887,0.13358302122347065,0.6875,0.039950062421972535,0.6875129827840124,0.5493133583021224,-0.0036758639419837147,-0.009987515605493158
no_env,22,2022,140,extra_trees,0.6864929526575467,0.2466904311711552,0.5380774032459426,801.0,0.6256684491978609,0.23345817727840198,0.6756756756756757,0.046192259675405745,0.6666666666666666,0.003745318352059925,0.6875129827840124,0.5493133583021224,-0.0010200301264656764,-0.011235955056179803
no_env,22,2022,140,random_forest,0.6890331034927369,0.24782026891653072,0.5430711610486891,801.0,0.5782312925170068,0.550561797752809,0.5965909090909091,0.21972534332084895,0.6271186440677966,0.07365792759051186,0.6875129827840124,0.5493133583021224,0.0015201207087245372,-0.006242197253433224
no_env,22,2023,140,extra_trees,0.6879820996402727,0.24742277739218443,0.5525,800.0,0.5532786885245902,0.305,0.6086956521739131,0.0575,0.6666666666666666,0.01125,0.6900105237583041,0.53,-0.002028424118031391,0.022499999999999964
no_env,22,2023,140,random_forest_shallow,0.6894317147303934,0.24808422320135867,0.55125,800.0,0.5545171339563862,0.40125,0.5531914893617021,0.1175,0.6296296296296297,0.03375,0.6900105237583041,0.53,-0.0005788090279106317,0.02124999999999999
no_env,22,2023,140,random_forest,0.6925535232124074,0.24962959949927638,0.535,800.0,0.5489690721649485,0.485,0.5524475524475524,0.17875,0.6153846153846154,0.04875,0.6900105237583041,0.53,0.0025429994541033007,0.0050000000000000044
no_env,22,2024,140,random_forest_shallow,0.6854385612501314,0.24617388662260267,0.5708502024291497,741.0,0.5896414342629482,0.33873144399460187,0.5942028985507246,0.0931174089068826,0.6153846153846154,0.017543859649122806,0.6908031858052128,0.5344129554655871,-0.005364624555081465,0.03643724696356265
no_env,22,2024,140,extra_trees,0.6863573408642477,0.24663078559016072,0.553306342780027,741.0,0.5714285714285714,0.22672064777327935,0.6538461538461539,0.03508771929824561,1.0,0.004048582995951417,0.6908031858052128,0.5344129554655871,-0.004445844940965116,0.018893387314439902
no_env,22,2024,140,random_forest,0.687274310506147,0.2471070075866472,0.5425101214574899,741.0,0.5737704918032787,0.4116059379217274,0.5925925925925926,0.10931174089068826,0.7142857142857143,0.02834008097165992,0.6908031858052128,0.5344129554655871,-0.00352887529906587,0.0080971659919028
no_env,22,2025,140,extra_trees,0.6792113535396735,0.24312110767658604,0.5617367706919946,737.0,0.6033898305084746,0.40027137042062416,0.75,0.07598371777476255,1.0,0.005427408412483039,0.6829517843422538,0.5468113975576662,-0.0037404308025802413,0.014925373134328401
no_env,22,2025,140,random_forest_shallow,0.6799708773929383,0.24351783683361022,0.5468113975576662,737.0,0.6173913043478261,0.4681139755766621,0.6875,0.13025780189959293,0.8461538461538461,0.017639077340569877,0.6829517843422538,0.5468113975576662,-0.0029809069493155205,0.0
