feature_set,holdout_season,feature_count,model_name,log_loss,brier_score,accuracy,n_games,accuracy_conf_55,coverage_conf_55,accuracy_conf_60,coverage_conf_60,accuracy_conf_65,coverage_conf_65,baseline_log_loss,baseline_brier_score,baseline_accuracy,baseline_accuracy_conf_60,baseline_coverage_conf_60,log_loss_delta_vs_baseline,brier_score_delta_vs_baseline,accuracy_delta_vs_baseline,accuracy_conf_60_delta_vs_baseline,coverage_conf_60_delta_vs_baseline
expected_runs_ridge,2023,166,logistic,0.6892867533594765,0.24751248667583212,0.5584362139917696,2430.0,0.5876662636033857,0.6806584362139918,0.5912863070539419,0.39670781893004115,0.5971074380165289,0.1991769547325103,0.692961609443816,0.24873522585410304,0.568724279835391,0.5898334794040315,0.46954732510288066,-0.003674856084339484,-0.0012227391782709263,-0.010288065843621408,0.0014528276499103931,-0.07283950617283952
expected_runs_ridge,2023,166,hist_gradient_boosting,0.6946349080605815,0.2503602222236137,0.5436213991769547,2430.0,0.5608465608465608,0.7,0.591123701605288,0.43580246913580245,0.5897887323943662,0.2337448559670782,0.7004816094662208,0.2530067203236246,0.5362139917695473,0.5834932821497121,0.4288065843621399,-0.005846701405639365,-0.0026464981000108856,0.007407407407407418,0.007630419455575965,0.006995884773662531
expected_runs_ridge,2024,166,random_forest,0.6779408360454375,0.24248365449785056,0.5644298065047345,2429.0,0.6134521880064829,0.5080279950596953,0.6523702031602708,0.18237958007410457,0.6804123711340206,0.03993412927130506,0.67892740117507,0.24295837497083778,0.5726636475916015,0.6577017114914425,0.16838205022643063,-0.0009865651296324662,-0.00047472047298721676,-0.008233841086866978,-0.005331508331171686,0.01399752984767394
expected_runs_ridge,2024,166,random_forest_shallow,0.6786136545629121,0.24280828335698565,0.5763688760806917,2429.0,0.6227657572906867,0.4376286537669823,0.6747404844290658,0.11897900370522849,0.7241379310344828,0.011939069575957185,0.680750704759512,0.24385927864654364,0.5677233429394812,0.6576923076923077,0.1070399341292713,-0.0021370501965999322,-0.0010509952895579877,0.008645533141210415,0.01704817673675807,0.011939069575957181
expected_runs_ridge,2024,166,hist_gradient_boosting,0.6803137582597061,0.24364089005064618,0.5619596541786743,2429.0,0.5949908368967624,0.6739398929600658,0.6072916666666667,0.39522437216961714,0.6642857142857143,0.1729106628242075,0.682344643704544,0.24456821740318557,0.5582544256895842,0.6318234610917538,0.35446685878962536,-0.002030885444837871,-0.0009273273525393921,0.003705228489090162,-0.024531794425087128,0.04075751337999178
expected_runs_ridge,2024,166,extra_trees,0.6805904084577323,0.24377731725865737,0.5611362700699877,2429.0,0.641439205955335,0.33182379580074106,0.6521739130434783,0.05681350349938246,1.0,0.002881844380403458,0.6816019629909241,0.2442789369634703,0.5607245780156443,0.6814159292035398,0.04652120214079868,-0.0010115545331917941,-0.0005016197048129389,0.0004116920543433267,-0.0292420161600615,0.010292301358583777
expected_runs_ridge,2024,166,logistic,0.688896060559624,0.24727163749045486,0.5553725813091808,2429.0,0.5767690253671562,0.6167146974063401,0.5987096774193549,0.31906134211609716,0.6294277929155313,0.15109098394400988,0.6876839104542377,0.24635900233886449,0.5524907369287773,0.6118665018541409,0.3330588719637711,0.0012121501053863337,0.0009126351515903741,0.0028818443804035088,-0.013156824434786052,-0.01399752984767394
expected_runs_ridge,2024,166,calibrated_logistic,0.690340440241013,0.2461839720118803,0.553314121037464,2429.0,0.5860500379075056,0.5430218196788802,0.6094808126410836,0.18237958007410457,0.6462585034013606,0.06051873198847262,0.6835116822285867,0.2449682020081088,0.5582544256895842,0.6096938775510204,0.16138328530259366,0.006828758012426328,0.0012157700037715158,-0.004940304652120142,-0.00021306490993688865,0.02099629477151091
expected_runs_ridge,2025,166,random_forest_shallow,0.6803506965115016,0.243688806237249,0.5588477366255145,2430.0,0.5955441302485004,0.4802469135802469,0.6982248520710059,0.1390946502057613,0.7631578947368421,0.015637860082304528,0.6810615240151127,0.24404112826899338,0.5621399176954732,0.7104247104247104,0.10658436213991769,-0.0007108275036110667,-0.00035232203174437315,-0.003292181069958766,-0.012199858353704518,0.03251028806584362
expected_runs_ridge,2025,166,calibrated_logistic,0.6806641823391316,0.24375555068518684,0.5699588477366255,2430.0,0.594776119402985,0.551440329218107,0.6432865731462926,0.20534979423868313,0.693069306930693,0.04156378600823045,0.6798646400726421,0.24340433661478272,0.562962962962963,0.6349206349206349,0.2074074074074074,0.0007995422664894836,0.00035121407040411556,0.006995884773662531,0.008365938225657676,-0.0020576131687242705
expected_runs_ridge,2025,166,random_forest,0.6812378453594149,0.2441566000154978,0.5539094650205761,2430.0,0.5955993930197269,0.5423868312757202,0.656441717791411,0.20123456790123456,0.7459016393442623,0.050205761316872426,0.679730691481685,0.2434048124683492,0.5584362139917696,0.6523702031602708,0.18230452674897119,0.0015071538777299276,0.000751787547148608,-0.004526748971193428,0.004071514631140194,0.018930041152263377
expected_runs_ridge,2025,166,extra_trees,0.6815471136588119,0.24426369508843485,0.5559670781893004,2430.0,0.6164383561643836,0.36049382716049383,0.7440476190476191,0.0691358024691358,0.8571428571428571,0.002880658436213992,0.6818553542411376,0.2444094035116196,0.557201646090535,0.7032258064516129,0.06378600823045268,-0.00030824058232570284,-0.0001457084231847594,-0.0012345679012346622,0.040821812596006146,0.00534979423868312
expected_runs_ridge,2025,166,logistic,0.6823176418465411,0.24432504670289454,0.5650205761316872,2430.0,0.5955351280367696,0.6267489711934157,0.61875,0.3292181069958848,0.6306818181818182,0.1448559670781893,0.6827875048938147,0.24445453685587185,0.5637860082304527,0.6216530849825378,0.3534979423868313,-0.00046986304727358874,-0.00012949015297730737,0.0012345679012345512,-0.0029030849825377736,-0.024279835390946525
expected_runs_ridge,2025,166,hist_gradient_boosting,0.6895498233751123,0.24798762345900868,0.5510288065843622,2430.0,0.5663082437275986,0.6888888888888889,0.5865191146881288,0.4090534979423868,0.6351931330472103,0.19176954732510287,0.6890319183069974,0.24773099379595856,0.5510288065843622,0.5964912280701754,0.35185185185185186,0.0005179050681148878,0.000256629663050123,0.0,-0.009972113382046621,0.05720164609053496
