feature_a,feature_b,abs_spearman_corr
home_sp_whiff_rate_to_date,sp_whiff_rate_diff,0.679143864061372
away_sp_whiff_rate_to_date,sp_whiff_rate_diff,0.6756210987161663
away_lineup_weighted_woba_by_order,away_lineup_3to5_woba,0.6752023978557993
home_lineup_avg_ops,home_team_ops_season_to_date,0.6738761819941187
lineup_woba_diff,team_woba_diff,0.6723678100291379
home_lineup_avg_ops,home_team_woba_season_to_date,0.6722374646064698
home_sp_fip_season_to_date,sp_fip_diff,0.671989754783673
away_lineup_statcast_woba,away_team_woba_season_to_date,0.6709224519407783
away_sp_fip_season_to_date,sp_fip_diff,0.6689436202883344
away_sp_statcast_xwoba_allowed_to_date,sp_statcast_xwoba_allowed_diff,0.668568576980948
home_lineup_avg_woba,home_team_woba_season_to_date,0.6685471822200629
away_team_woba_season_to_date,team_woba_diff,0.6676383065185806
home_lineup_statcast_xwoba,lineup_statcast_xwoba_diff,0.6665129499563642
away_lineup_statcast_woba,away_team_ops_season_to_date,0.6662369923219383
away_lineup_statcast_xwoba,lineup_statcast_xwoba_diff,0.6662287166984373
home_lineup_avg_woba,home_team_ops_season_to_date,0.6655697062103724
away_lineup_platoon_woba,lineup_platoon_woba_diff,0.6648609640269092
away_lineup_weighted_woba_by_order,away_lineup_top3_woba,0.664539892215131
away_lineup_avg_woba,lineup_woba_diff,0.6642401901830498
away_team_ops_season_to_date,team_woba_diff,0.663144325810222
home_lineup_weighted_woba_by_order,home_lineup_bottom4_ops,0.6622333404237709
home_team_woba_season_to_date,team_woba_diff,0.6607523373376502
away_lineup_weighted_woba_by_order,away_lineup_bottom4_ops,0.6591168303410474
away_lineup_avg_ops,lineup_woba_diff,0.6587273304020447
away_lineup_weighted_woba_by_order,lineup_woba_diff,0.657392796902373
home_team_ops_season_to_date,team_woba_diff,0.6573489888842116
home_lineup_avg_woba,lineup_woba_diff,0.6573176681176678
home_lineup_weighted_woba_by_order,home_lineup_3to5_woba,0.6568895386639831
away_sp_kbb_rate_season_to_date,away_sp_statcast_xwoba_allowed_to_date,0.6562148998168752
home_lineup_platoon_woba,lineup_platoon_woba_diff,0.656139587879745
away_travel_distance_miles,home_bullpen_ip_last_1d,0.6547017875554939
away_lineup_vs_rhp_woba,away_lineup_statcast_xwoba,0.6535715846505693
away_lineup_statcast_woba,lineup_woba_diff,0.653554170760259
home_lineup_avg_ops,lineup_woba_diff,0.653120716458511
home_lineup_vs_rhp_woba,home_lineup_statcast_xwoba,0.6530545670255152
home_lineup_statcast_woba,home_team_woba_season_to_date,0.651962126899033
home_lineup_weighted_woba_by_order,lineup_woba_diff,0.6517508524386433
home_lineup_statcast_woba,lineup_woba_diff,0.6499711296312081
wind_speed,is_dome,0.6498957702742939
home_lineup_statcast_woba,home_team_ops_season_to_date,0.6482943950792002
home_lineup_weighted_woba_by_order,home_lineup_top3_woba,0.6453221499328206
away_lineup_previous_starter_missing_count,lineup_previous_starter_return_diff,0.6422217243378013
away_lineup_previous_starter_return_rate,lineup_previous_starter_return_diff,0.6422217243378013
home_sp_fip_season_to_date,home_sp_kbb_rate_season_to_date,0.6418622005798068
home_lineup_previous_starter_return_rate,lineup_previous_starter_return_diff,0.6378702764004343
home_lineup_previous_starter_missing_count,lineup_previous_starter_return_diff,0.6378660328031113
away_sp_fip_season_to_date,away_sp_kbb_rate_season_to_date,0.635967980266965
away_lineup_weighted_woba_by_order,away_team_runs_per_game_to_date,0.633338217686534
away_bullpen_fip_season_to_date,away_bullpen_whip_season_to_date,0.6320163965422625
home_travel_distance_miles,home_travel_home_game_streak,0.6263659165166287
away_lineup_avg_ops,away_team_runs_per_game_to_date,0.6249425456336528
away_team_ops_season_to_date,away_team_ops_last_14d,0.6235361236943311
away_team_woba_season_to_date,away_team_ops_last_14d,0.6215731577056867
away_lineup_statcast_woba,away_team_runs_per_game_to_date,0.6195241109860649
away_lineup_avg_woba,away_team_runs_per_game_to_date,0.6188552892585988
home_lineup_weighted_woba_by_order,home_team_runs_per_game_to_date,0.6184382420364376
away_lineup_avg_ops,away_lineup_top3_woba,0.6182559715162708
home_lineup_hard_hit_rate,home_lineup_barrel_rate,0.6173987765410784
home_bullpen_fip_season_to_date,home_bullpen_whip_season_to_date,0.6156311287849766
home_team_runs_per_game_to_date,team_woba_diff,0.6155352119859677
away_team_runs_per_game_to_date,team_woba_diff,0.6154667256327098
home_team_ops_season_to_date,home_team_ops_last_14d,0.6144328848433497
away_lineup_avg_ops,away_lineup_3to5_woba,0.6136483914441179
home_travel_is_back_to_back,home_closer_used_yesterday,0.6135466290291527
away_lineup_avg_woba,away_lineup_top3_woba,0.6134718599173603
home_team_woba_season_to_date,home_team_ops_last_14d,0.6126759551104048
home_travel_distance_miles,away_travel_distance_miles,0.6122728216285109
away_lineup_avg_woba,away_lineup_3to5_woba,0.6116867363696984
away_lineup_bottom4_ops,away_lineup_vs_rhp_woba,0.6111019039959787
home_sp_fip_last_5_starts,home_sp_statcast_woba_allowed_to_date,0.6102161696890309
home_sp_whip_season_to_date,home_sp_kbb_rate_season_to_date,0.6093155018449438
away_lineup_vs_rhp_woba,away_team_woba_season_to_date,0.6091302931515113
away_lineup_weighted_woba_by_order,away_team_ops_last_30d,0.6073179580356662
home_lineup_bottom4_ops,home_lineup_vs_rhp_woba,0.6069224194301929
away_lineup_avg_ops,away_team_ops_last_30d,0.6062318877826173
home_lineup_avg_ops,home_team_runs_per_game_to_date,0.6056630221577584
away_lineup_hard_hit_rate,away_lineup_barrel_rate,0.6052886282139885
home_sp_fip_season_to_date,home_sp_whip_season_to_date,0.6037877185334728
