season,column,rows,null_rate_all,null_rate_may_onward,non_null_may_onward
2025,home_team_ops_season_to_date,737,0.008141112618724558,0.0,583
2026,home_team_ops_season_to_date,274,0.01824817518248175,0.0,103
2024,home_team_recent_10g_win_rate,741,0.006747638326585695,0.0,579
2025,home_team_recent_10g_win_rate,737,0.008141112618724558,0.0,583
2026,home_team_recent_10g_win_rate,274,0.01824817518248175,0.0,103
2024,home_team_recent_7g_win_rate,741,0.006747638326585695,0.0,579
2025,home_team_recent_7g_win_rate,737,0.008141112618724558,0.0,583
2026,home_team_recent_7g_win_rate,274,0.01824817518248175,0.0,103
2024,home_team_woba_season_to_date,741,0.006747638326585695,0.0,579
2025,home_team_woba_season_to_date,737,0.008141112618724558,0.0,583
2026,home_team_woba_season_to_date,274,0.01824817518248175,0.0,103
2024,home_travel_rest_days,741,0.006747638326585695,0.0,579
2025,home_travel_rest_days,737,0.008141112618724558,0.0,583
2026,home_travel_rest_days,274,0.01824817518248175,0.0,103
