holdout_season,model_name,game_id,game_date,season,home_team,away_team,home_score,away_score,home_team_win,home_win_probability,away_win_probability,raw_win_pick,win_confidence,actual_winner,win_edge,win_pick_rule,rule_win_pick,rule_win_correct,random_forest_shallow_raw_win_pick,random_forest_shallow_win_confidence,random_forest_shallow_agrees,soft_voting_raw_win_pick,soft_voting_win_confidence,soft_voting_agrees,agreement_models,agreement_required,models_agree
2022,random_forest,661129,2022-04-10 17:05:00+00:00,2022,PHI,OAK,1.0,4.0,0,0.44922904221595694,0.5507709577840431,OAK,0.5507709577840431,OAK,0.05077095778404306,pass,,,OAK,0.5090811477959418,True,PHI,0.5093351728667961,False,1,2,False
2022,random_forest,661916,2022-04-10 17:10:00+00:00,2022,TB,BAL,8.0,0.0,1,0.5276634146989134,0.4723365853010866,TB,0.5276634146989134,TB,0.027663414698913424,pass,,,TB,0.5409100458581391,True,TB,0.5540601108264641,True,2,2,True
2022,random_forest,662887,2022-04-10 17:10:00+00:00,2022,DET,CWS,1.0,10.0,0,0.5196670733238875,0.4803329266761125,DET,0.5196670733238875,CWS,0.019667073323887507,pass,,,DET,0.5154961093775625,True,DET,0.5110711705439245,True,2,2,True
2022,random_forest,661573,2022-04-10 17:35:00+00:00,2022,ATL,CIN,3.0,6.0,0,0.45051871687582307,0.5494812831241769,CIN,0.5494812831241769,CIN,0.04948128312417688,pass,,,ATL,0.5039395675714899,False,ATL,0.5552517556499138,False,0,2,False
2022,random_forest,662570,2022-04-10 17:35:00+00:00,2022,WSH,NYM,4.0,2.0,1,0.4962092314627743,0.5037907685372257,NYM,0.5037907685372257,WSH,0.0037907685372257083,pass,,,WSH,0.5198224633509279,False,NYM,0.5557248106260891,True,1,2,False
2022,random_forest,661802,2022-04-10 17:37:00+00:00,2022,TOR,TEX,6.0,12.0,0,0.5212541707567978,0.4787458292432022,TOR,0.5212541707567978,TEX,0.021254170756797808,pass,,,TOR,0.5424195019011122,True,TOR,0.5982509934705622,True,2,2,True
2022,random_forest,661738,2022-04-10 18:10:00+00:00,2022,MIN,SEA,10.0,4.0,1,0.46020059970521665,0.5397994002947833,SEA,0.5397994002947833,MIN,0.03979940029478335,pass,,,MIN,0.5025323776073085,False,SEA,0.5138760865459155,True,1,2,False
2022,random_forest,662755,2022-04-10 18:10:00+00:00,2022,KC,CLE,3.0,17.0,0,0.5420096091803075,0.4579903908196925,KC,0.5420096091803075,CLE,0.042009609180307494,lean,KC,0.0,KC,0.5636389986726469,True,KC,0.5627045538610843,True,2,2,True
2022,random_forest,662019,2022-04-10 18:15:00+00:00,2022,STL,PIT,4.0,9.0,0,0.5520341496091244,0.44796585039087555,STL,0.5520341496091244,PIT,0.05203414960912445,strong,STL,0.0,STL,0.5460819985339485,True,STL,0.6428241442922727,True,2,2,True
2022,random_forest,663204,2022-04-10 18:20:00+00:00,2022,CHC,MIL,4.0,5.0,0,0.5401711175044537,0.4598288824955463,CHC,0.5401711175044537,MIL,0.04017111750445368,lean,CHC,0.0,CHC,0.5566040253709738,True,CHC,0.6454694511753053,True,2,2,True
2022,random_forest,662934,2022-04-10 19:10:00+00:00,2022,COL,LAD,9.0,4.0,1,0.46792539265712774,0.5320746073428723,LAD,0.5320746073428723,COL,0.03207460734287226,pass,,,LAD,0.5059219852799266,True,COL,0.5938390699051762,False,1,2,False
2022,random_forest,662122,2022-04-10 20:05:00+00:00,2022,SF,MIA,3.0,2.0,1,0.5397350421917598,0.46026495780824017,SF,0.5397350421917598,SF,0.03973504219175983,lean,SF,1.0,SF,0.5288253512461263,True,SF,0.5790743906321938,True,2,2,True
2022,random_forest,661039,2022-04-10 20:07:00+00:00,2022,LAA,HOU,1.0,4.0,0,0.46658707428645996,0.53341292571354,HOU,0.53341292571354,HOU,0.03341292571354004,pass,,,HOU,0.519014477571024,True,LAA,0.5005592929042575,False,1,2,False
2022,random_forest,663395,2022-04-10 20:10:00+00:00,2022,AZ,SD,5.0,10.0,0,0.5707600588770204,0.4292399411229796,AZ,0.5707600588770204,SD,0.07076005887702042,strong,AZ,0.0,AZ,0.5786563254487862,True,AZ,0.5117174346608175,True,2,2,True
2022,random_forest,661316,2022-04-10 23:08:00+00:00,2022,NYY,BOS,3.0,4.0,0,0.5332421082676058,0.46675789173239424,NYY,0.5332421082676058,BOS,0.03324210826760576,lean,NYY,0.0,NYY,0.5668924994144889,True,NYY,0.5235380566473701,True,2,2,True
2022,random_forest,662754,2022-04-11 18:10:00+00:00,2022,KC,CLE,7.0,10.0,0,0.5538110692421929,0.4461889307578071,KC,0.5538110692421929,CLE,0.05381106924219292,pass,,,KC,0.5357005698689999,True,CLE,0.5330150760430987,False,1,2,False
2022,random_forest,663403,2022-04-11 19:05:00+00:00,2022,BAL,MIL,2.0,0.0,1,0.5128347867299431,0.4871652132700569,BAL,0.5128347867299431,BAL,0.012834786729943093,pass,,,BAL,0.544461700746945,True,BAL,0.5464990078214693,True,2,2,True
2022,random_forest,662042,2022-04-11 20:05:00+00:00,2022,TEX,COL,4.0,6.0,0,0.5258083401687453,0.47419165983125466,TEX,0.5258083401687453,COL,0.025808340168745336,pass,,,TEX,0.540838404145296,True,TEX,0.5082039605553698,True,2,2,True
2022,random_forest,662863,2022-04-11 21:10:00+00:00,2022,DET,BOS,3.0,1.0,1,0.4415257709561328,0.5584742290438671,BOS,0.5584742290438671,DET,0.05847422904386712,strong,BOS,0.0,BOS,0.526178431697731,True,BOS,0.5134355446579021,True,2,2,True
2022,random_forest,661915,2022-04-11 22:40:00+00:00,2022,TB,OAK,2.0,13.0,0,0.447738788321581,0.552261211678419,OAK,0.552261211678419,OAK,0.05226121167841902,pass,,,OAK,0.5071236924402875,True,TB,0.5245177523570748,False,1,2,False
2022,random_forest,661637,2022-04-11 22:45:00+00:00,2022,PHI,NYM,5.0,4.0,1,0.5680764574275549,0.43192354257244514,PHI,0.5680764574275549,PHI,0.06807645742755486,strong,PHI,1.0,PHI,0.5471058396867934,True,PHI,0.545876743661353,True,2,2,True
2022,random_forest,661315,2022-04-11 23:05:00+00:00,2022,NYY,TOR,0.0,3.0,0,0.5204285693222414,0.47957143067775865,NYY,0.5204285693222414,TOR,0.020428569322241352,pass,,,NYY,0.5325890843808055,True,NYY,0.5255671865754826,True,2,2,True
2022,random_forest,661572,2022-04-11 23:20:00+00:00,2022,ATL,WSH,2.0,11.0,0,0.4680173405995116,0.5319826594004884,WSH,0.5319826594004884,WSH,0.03198265940048839,pass,,,WSH,0.5046538441359976,True,ATL,0.5073826638653973,False,1,2,False
2022,random_forest,661754,2022-04-11 23:40:00+00:00,2022,MIN,SEA,4.0,0.0,1,0.49154193949431063,0.5084580605056894,SEA,0.5084580605056894,MIN,0.008458060505689424,pass,,,MIN,0.5044950411379064,False,MIN,0.5083463729833452,False,0,2,False
2022,random_forest,661036,2022-04-12 01:38:00+00:00,2022,LAA,MIA,6.0,2.0,1,0.579180439917577,0.42081956008242305,LAA,0.579180439917577,LAA,0.07918043991757695,strong,LAA,1.0,LAA,0.5322147231321845,True,LAA,0.5809991157948802,True,2,2,True
2022,random_forest,662116,2022-04-12 01:45:00+00:00,2022,SF,SD,2.0,4.0,0,0.5348308371983101,0.46516916280168985,SF,0.5348308371983101,SD,0.03483083719831015,pass,,,SF,0.5367219311895095,True,SD,0.507255804182182,False,1,2,False
2022,random_forest,662862,2022-04-12 17:10:00+00:00,2022,DET,BOS,3.0,5.0,0,0.454523608788883,0.545476391211117,BOS,0.545476391211117,BOS,0.04547639121111702,pass,,,BOS,0.5120619571384086,True,DET,0.5611488451601659,False,1,2,False
2022,random_forest,661538,2022-04-12 20:10:00+00:00,2022,CWS,SEA,3.0,2.0,1,0.532833068665435,0.467166931334565,CWS,0.532833068665435,CWS,0.032833068665435006,lean,CWS,1.0,CWS,0.5317369921802058,True,CWS,0.5927355868656499,True,2,2,True
2022,random_forest,663088,2022-04-12 20:10:00+00:00,2022,CIN,CLE,5.0,10.0,0,0.5613427399686991,0.4386572600313009,CIN,0.5613427399686991,CLE,0.0613427399686991,strong,CIN,0.0,CIN,0.5733593023084127,True,CIN,0.5734316153042667,True,2,2,True
2022,random_forest,662318,2022-04-12 20:12:00+00:00,2022,PIT,CHC,1.0,2.0,0,0.5448462401687783,0.45515375983122175,PIT,0.5448462401687783,CHC,0.04484624016877825,pass,,,PIT,0.5004029728908016,True,CHC,0.5097056593380247,False,1,2,False
2022,random_forest,661944,2022-04-12 22:40:00+00:00,2022,TB,OAK,9.0,8.0,1,0.4906940192268361,0.5093059807731639,OAK,0.5093059807731639,TB,0.009305980773163913,pass,,,TB,0.516701688490649,False,TB,0.5484207230650626,False,0,2,False
2022,random_forest,661636,2022-04-12 22:45:00+00:00,2022,PHI,NYM,0.0,2.0,0,0.5428599278268618,0.45714007217313823,PHI,0.5428599278268618,NYM,0.042859927826861766,lean,PHI,0.0,PHI,0.5190041146638062,True,PHI,0.5098399984780477,True,2,2,True
2022,random_forest,661314,2022-04-12 23:05:00+00:00,2022,NYY,TOR,4.0,0.0,1,0.4736581199288522,0.5263418800711478,TOR,0.5263418800711478,NYY,0.026341880071147794,pass,,,NYY,0.5216330615677529,False,TOR,0.5055036798735888,True,1,2,False
2022,random_forest,663295,2022-04-12 23:05:00+00:00,2022,BAL,MIL,4.0,5.0,0,0.5357196859477217,0.4642803140522783,BAL,0.5357196859477217,MIL,0.03571968594772168,lean,BAL,0.0,BAL,0.5366636654848599,True,BAL,0.6032921803278666,True,2,2,True
